Tree Canopy Parameters
MODIFIED_IGBP_MODIS_NOAH
21,1,'  1   2    3    4    5    6    7    8    9    10   11   12 '
1,    0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15, 'Evergreen Needleleaf Forest'
2,    0.10,0.10,0.12,0.14,0.16,0.16,0.16,0.14,0.12,0.10,0.10,0.10, 'Evergreen Broadleaf Forest'
3,    0.10,0.10,0.12,0.14,0.16,0.16,0.16,0.14,0.12,0.10,0.10,0.10, 'Deciduous Needleleaf Forest'
4,    0.10,0.10,0.12,0.14,0.16,0.16,0.16,0.14,0.12,0.10,0.10,0.10, 'Deciduous Broadleaf Forest'
5,    0.12,0.12,0.14,0.14,0.16,0.16,0.16,0.14,0.14,0.12,0.12,0.12, 'Mixed Forests'
6,    0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07, 'Closed Shrublands'
7,    0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07, 'Open Shrublands'
8,    0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07, 'Woody Savannas'
9,    0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05, 'Savannas'
10,   0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06, 'Grasslands'
11,   0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14, 'Permanent wetlands'
12,   0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04, 'Croplands'
13,   0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15, 'Urban and Built-Up'
14,   0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15, 'cropland/natural vegetation mosaic'
15,   0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 'Snow and Ice'
16,   0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38, 'Barren or Sparsely Vegetated'
17,   0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 'Water'
18,   0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15, 'Wooded Tundra'
19,   0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15, 'Mixed Tundra'
20,   0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05, 'Barren Tundra'
21,   0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 'lake and river'

